date,country_code,country,confirmed,suspected,cured,dead
20200214,FR,法国,11,0,0,0
20200214,GB,英国,9,0,1,0
20200214,IN,印度,3,0,0,0
20200214,IT,意大利,3,0,0,0
20200214,JP,日本,253,0,1,1
20200214,KH,柬埔寨,1,0,0,0
20200214,KR,韩国,28,0,7,0
20200214,LK,斯里兰卡,1,0,1,0
20200214,MY,马来西亚,19,0,3,0
20200214,NP,尼泊尔,1,0,1,0
20200214,PH,菲律宾,3,0,1,1
20200214,RU,俄罗斯,2,0,2,0
20200214,SE,瑞典,1,0,0,0
20200214,SG,新加坡,67,0,17,0
20200214,TH,泰国,33,0,10,0
20200214,US,美国,15,0,3,0
20200214,VN,越南,16,0,5,0
20200215,AE,阿联酋,8,0,3,0
20200215,AU,澳大利亚,15,0,5,0
20200215,BE,比利时,1,0,0,0
20200215,CA,加拿大,8,0,1,0
20200215,CN,中国,68584,8229,9425,1666
20200215,DE,德国,16,0,1,0
20200215,EG,埃及,1,0,0,0
20200215,ES,西班牙,2,0,0,0
20200215,FI,芬兰,1,0,1,0
20200215,FR,法国,11,0,0,1
20200215,GB,英国,9,0,1,0
20200215,IN,印度,3,0,0,0
20200215,IT,意大利,3,0,0,0
20200215,JP,日本,326,0,1,1
20200215,KH,柬埔寨,1,0,1,0
20200215,KR,韩国,28,0,9,0
20200215,LK,斯里兰卡,1,0,1,0
20200215,MY,马来西亚,21,0,3,0
20200215,NP,尼泊尔,1,0,1,0
20200215,PH,菲律宾,3,0,1,1
20200215,RU,俄罗斯,2,0,2,0
20200215,SE,瑞典,1,0,0,0
20200215,SG,新加坡,67,0,17,0
20200215,TH,泰国,33,0,14,0
20200215,US,美国,15,0,3,0
20200215,VN,越南,16,0,7,0
20200216,AE,阿联酋,8,0,4,0
20200216,AU,澳大利亚,15,0,5,0
20200216,BE,比利时,1,0,0,0
20200216,CA,加拿大,8,0,1,0
20200216,CN,中国,68584,8228,9425,1666
20200216,DE,德国,16,0,1,0
20200216,EG,埃及,1,0,0,0
20200216,ES,西班牙,2,0,0,0
20200216,FI,芬兰,1,0,1,0
20200216,FR,法国,12,0,0,1
20200216,GB,英国,9,0,8,0
20200216,IN,印度,3,0,0,0
20200216,IT,意大利,3,0,0,0
20200216,JP,日本,326,0,1,1
20200216,KH,柬埔寨,1,0,1,0
20200216,KR,韩国,28,0,9,0
20200216,LK,斯里兰卡,1,0,1,0
20200216,MY,马来西亚,22,0,7,0
20200216,NP,尼泊尔,1,0,1,0
20200216,PH,菲律宾,3,0,1,1
20200216,RU,俄罗斯,2,0,2,0
20200216,SE,瑞典,1,0,0,0
20200216,SG,新加坡,72,0,18,0
20200216,TH,泰国,34,0,14,0
20200216,US,美国,15,0,3,0
20200216,VN,越南,16,0,7,0
20200216,AE,阿联酋,8,0,4,0
20200216,AU,澳大利亚,15,0,5,0
20200216,BE,比利时,1,0,1,0
20200216,CA,加拿大,8,0,1,0
20200216,CN,中国,70637,7264,10860,1772
20200216,DE,德国,16,0,1,0
20200216,EG,埃及,1,0,0,0
20200216,ES,西班牙,2,0,0,0
20200216,FI,芬兰,1,0,1,0
20200216,FR,法国,12,0,4,1
20200216,GB,英国,9,0,8,0
20200216,IN,印度,3,0,2,0
20200216,IT,意大利,3,0,0,0
20200216,JP,日本,413,0,1,1
20200216,KH,柬埔寨,1,0,1,0
20200216,KR,韩国,29,0,9,0
20200216,LK,斯里兰卡,1,0,1,0
20200216,MY,马来西亚,22,0,7,0
20200216,NP,尼泊尔,1,0,1,0
20200216,PH,菲律宾,3,0,1,1
20200216,RU,俄罗斯,2,0,2,0
20200216,SE,瑞典,1,0,0,0
20200216,SG,新加坡,72,0,18,0
20200216,TH,泰国,34,0,15,0
20200216,US,美国,15,0,3,0
20200216,VN,越南,16,0,7,0
20200217,AE,阿联酋,9,0,4,0
20200217,AU,澳大利亚,15,0,5,0
20200217,BE,比利时,1,0,1,0
20200217,CA,加拿大,8,0,1,0
20200217,CN,中国,72528,6242,12561,1870
20200217,DE,德国,16,0,1,0
20200217,EG,埃及,1,0,0,0
20200217,ES,西班牙,2,0,0,0
20200217,FI,芬兰,1,0,1,0
20200217,FR,法国,12,0,4,1
20200217,GB,英国,9,0,8,0
20200217,IN,印度,3,0,2,0
20200217,IT,意大利,3,0,0,0
20200217,JP,日本,519,0,1,1
20200217,KH,柬埔寨,1,0,1,0
